solver,pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDC/SOL,5,287.24,0,,,5,5.57,5.66
solver-priv-liq.near,ETH/USDC,3,284.35,0,,,3,8.96,9.99
sodax-solver.near,BNB/USDC,7,270.72,0,,,7,3.63,3.72
solver-priv-liq.near,BNB/USDT,1,268.09,0,,,1,4.28,4.28
solver-priv-liq.near,USDT/MON,5,264.34,0,,,5,13.82,14.22
solver-priv-liq.near,BCH/USDC,2,262.52,0,,,2,-0.15,6.83
solver-priv-liq.near,AVAX/USDT,1,258.38,0,,,1,8.61,8.61
crux-solver.near,USDT0/USDC,2,236.79,0,,,2,6.55,6.53
sodax-solver.near,SOL/USDT,5,234.57,0,,,5,-1.11,-0.90
solver-ref.near,ZEC/NEAR,2,233.50,0,,,2,4.20,4.35
crux-solver.near,BTC/BTC,1,232.63,0,,,1,7.52,7.52
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ETH/USDC,5,226.49,0,,,5,8.85,9.00
solver-priv-liq.near,USDT/SPX,1,219.07,0,,,1,6.26,6.26
sodax-solver.near,ETH/USDT,4,215.85,0,,,4,0.56,1.03
sodax-solver.near,USDC/POL,3,204.74,0,,,3,3.81,1.34
solver-priv-liq.near,TON/USDT,9,198.13,0,,,0,,
crux-solver.near,ETH/TRX,6,193.17,0,,,6,11.86,12.91
kipseli.near,USDT/ETH,1,176.52,0,,,1,0.85,0.85
crux-solver.near,ETH/NEAR,4,175.72,0,,,4,9.19,8.55
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,DAI/NEAR,2,172.52,0,,,2,5.99,5.98
crux-solver.near,XRP/USDC,6,149.56,0,,,6,8.43,7.92
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ZEC/BTC,2,148.19,0,,,2,26.93,29.46
sodax-solver.near,AVAX/ETH,1,146.89,0,,,1,10.12,10.12
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ZEC/SOL,1,145.46,0,,,1,33.43,33.43
solver-priv-liq.near,USDT/BCH,2,144.75,0,,,2,21.83,20.04
solverwithlp.near,BTC/BTC,1,135.19,0,,,1,10.40,10.40
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,ZEC/USDT,2,135.16,0,,,2,8.23,9.37
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDC/XRP,1,132.38,0,,,1,2.94,2.94
crux-solver.near,NEAR/ETH,4,127.17,0,,,4,12.00,11.96
nocturnallabs.near,ZEC/USDT,1,121.51,0,,,1,2.96,2.96
